"Id_Asistencia","Materia","Software","Profesor Encargado","Programa Curricular","Nivel académico","Fecha","Día de la semana","Horario","Número de participantes","Semestre","Semana del semestre","Nombre del monitor","Estado","","","","","","","","","","","",""
"AD20170179","Investigación","Latex","Grupo LEA - UN","Bibliotecas","Pregrado","10/05/2017","Wednesday","14:00- 16:00","N/A","2017-I","14","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","11/05/2017","Thursday","Ninguno","Ninguno","2017-I","14","Ninguno","","","","","","","","","","","","",""
"AD20170180","Gestión de Procesos Empresariales ERP","SAP","Beatriz Helena Diaz","Administración de Empresas","Pregrado","12/05/2017","Friday","09:00- 11:00","N/A","2017-I","14","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","13/05/2017","Saturday","Ninguno","Ninguno","2017-I","14","Ninguno","","","","","","","","","","","","",""
"AD20170181","Gestión de las operaciones y la producción I","Odoo","Jose Stalin Rojas","Administración de Empresas","Pregrado","15/05/2017","Monday","07:00- 09:00","N/A","2017-I","15","","DICTADA","","","","","","","","","","","",""
"AD20170182","Gestión de las operaciones y la producción I","Odoo","Jose Stalin Rojas","Administración de Empresas","Pregrado","15/05/2017","Monday","16:00- 18:00","N/A","2017-I","15","","DICTADA","","","","","","","","","","","",""
"AD20170183","Economía Industrial e Internacional","R","Roberto Contreras Marin","Economía","Pregrado","15/05/2017","Monday","16:00- 18:00","N/A","2017-I","15","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","16/05/2017","Tuesday","Ninguno","Ninguno","2017-I","15","Ninguno","","","","","","","","","","","","",""
"AD20170184","Fundamentos de Finanzas","Excel","María del Pilar Corredor García","Administración de Empresas","Pregrado","17/05/2017","Wednesday","N/A","N/A","2017-I","15","","DICTADA","","","","","","","","","","","",""
"AD20170185","Economía Industrial e Internacional","R","Roberto Contreras Marin","Economía","Pregrado","17/05/2017","Wednesday","16:00- 18:00","N/A","2017-I","15","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","18/05/2017","Thursday","Ninguno","Ninguno","2017-I","15","Ninguno","","","","","","","","","","","","",""
"AD20170186","Investigación","Latex","Grupo LEA - UN","Bibliotecas","Pregrado","19/05/2017","Friday","14:00- 16:00","N/A","2017-I","15","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","20/05/2017","Saturday","Ninguno","Ninguno","2017-I","15","Ninguno","","","","","","","","","","","","",""
"AD20170187","Gestión de las operaciones y la producción I","Odoo","Jose Stalin Rojas","Administración de Empresas","Pregrado","22/05/2017","Monday","07:00- 09:00","N/A","2017-I","16","","DICTADA","","","","","","","","","","","",""
"AD20170188","Gestión de las operaciones y la producción I","Odoo","Jose Stalin Rojas","Administración de Empresas","Pregrado","22/05/2017","Monday","16:00- 18:00","N/A","2017-I","16","","DICTADA","","","","","","","","","","","",""
"AD20170189","Economía Industrial e Internacional","R","Roberto Contreras Marin","Economía","Pregrado","22/05/2017","Monday","16:00- 18:00","N/A","2017-I","16","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","23/05/2017","Tuesday","Ninguno","Ninguno","2017-I","16","Ninguno","","","","","","","","","","","","",""
"AD20170190","Economía Industrial e Internacional","R","Roberto Contreras Marin","Economía","Pregrado","24/05/2017","Wednesday","16:00- 18:00","N/A","2017-I","16","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","25/05/2017","Thursday","Ninguno","Ninguno","2017-I","16","Ninguno","","","","","","","","","","","","",""
"AD20170191","Fundamentos de Finanzas","Excel","María del Pilar Corredor García","Administración de Empresas","Pregrado","26/05/2017","Friday","N/A","N/A","2017-I","16","","DICTADA","","","","","","","","","","","",""
"AD20170192","Economía Industrial e Internacional","SPSS","Roberto Contreras Marin","Economía","Pregrado","27/05/2017","Saturday","14:00- 16:00","N/A","2017-I","16","","DICTADA","","","","","","","","","","","",""
"AD20170193","Economía Industrial e Internacional","SPSS","Roberto Contreras Marin","Economía","Pregrado","01/06/2017","Thursday","15:00- 17:00","N/A","2017-I","16","","DICTADA","","","","","","","","","","","",""
"AD20170194","Economía Industrial e Internacional","Programación para no Programadores","Roberto Contreras Marin","Economía","Pregrado","06/06/2017","Tuesday","09:00- 11:00","N/A","2017-I","16","","DICTADA","","","","","","","","","","","",""
"AD20170195","Economía Política II","Moodle","José Guillermo García","Economía","Pregrado","07/06/2017","Wednesday","09:00- 11:00","N/A","2017-I","16","","DICTADA","","","","","","","","","","","",""
"AD20170196","Economía Industrial e Internacional","Programación para no Programadores","Roberto Contreras Marin","Economía","Pregrado","09/06/2017","Friday","09:00- 11:00","N/A","2017-I","16","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","31/07/2017","Monday","Ninguno","Ninguno","2017-II","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","01/08/2017","Tuesday","Ninguno","Ninguno","2017-II","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","02/08/2017","Wednesday","Ninguno","Ninguno","2017-II","1","Ninguno","","","","","","","","","","","","",""
